model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
AST,PGD,AST | PGD,sample_0000_real_03147.json,real,0,0,5e-06,3e-06,-2.0000000000000003e-06,2.0000000000000003e-06,0.005093,0.00309,0.9959085,0.7501099365952033,0.7531961392857144,0.499997,0.999994,1,1,1,0,3.383158,0.996632,4.446933,-2.110686,3.235219
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_31014_suno_0.json,fake,1,1,0.999941,0.983152,-0.016788999999999943,0.016788999999999943,0.007731,0.018418,0.9869254999999999,0.9278826578502519,0.97295983,0.483152,0.966304,1,1,1,0,4.461052,0.999208,4.975924,-0.429953,4.951132
AST,PGD,AST | PGD,sample_0002_fake_09896_suno_1.json,fake,1,1,0.999922,0.999906,-1.6000000000016e-05,1.6000000000016e-05,0.018411,0.00995,0.9858195000000001,0.956260178244735,0.97019788,0.49990599999999996,0.9998119999999999,1,0,0,0,,0.997191,4.979991,-0.502131,4.935997
AST,PGD,AST | PGD,sample_0002_fake_19538_udio_0.json,fake,1,1,0.998059,0.995743,-0.0023159999999999847,0.0023159999999999847,0.017679,0.011499,0.985411,0.49294187925873606,0.504535494047619,0.49574300000000004,0.9914860000000001,1,0,0,0,1.739136,0.920335,3.054994,-3.995889,2.912735
AST,Psychoacoustic,AST | Psychoacoustic,sample_0002_fake_12630_suno_1.json,fake,1,1,0.999934,0.963462,-0.03647199999999995,0.03647199999999995,0.017902,0.011296,0.985401,0.893623980745143,0.9783577485714285,0.46346200000000004,0.9269240000000001,1,1,1,0,4.449758,0.999529,4.980369,-0.294669,4.925948
AST,PGD,AST | PGD,sample_0002_real_06308.json,real,0,0,9e-06,2.2e-05,1.3e-05,1.3e-05,0.010343,0.019236,0.9852105,0.6519764802422018,0.6617927523809525,0.499978,0.999956,1,0,0,0,2.844002,0.947696,3.945347,-2.820383,3.635604
AST,PGD,AST | PGD,sample_0002_real_06994.json,real,0,0,3.3e-05,5e-06,-2.8000000000000003e-05,2.8000000000000003e-05,0.011868,0.018651,0.9847405,0.47110291419521627,0.4784078904761904,0.499995,0.99999,1,0,0,0,1.469228,0.970287,2.950373,-3.738169,3.077186
AST,PGD,AST | PGD,sample_0002_fake_23853_udio_1.json,fake,1,1,0.999617,0.999503,-0.00011399999999994748,0.00011399999999994748,0.021606,0.009405,0.9844945,0.6047250365216202,0.61486045,0.49950300000000003,0.9990060000000001,1,0,0,0,2.909453,0.943959,3.90204,-3.990654,2.864411
AST,PGD,AST | PGD,sample_0002_real_19284.json,real,0,0,0.00014,3.6e-05,-0.00010399999999999998,0.00010399999999999998,0.016784,0.014396,0.98441,0.5687008405524562,0.5777488952380953,0.499964,0.999928,1,0,0,0,2.065591,0.95652,3.376114,-3.993934,3.648469
AST,PGD,AST | PGD,sample_0004_fake_37097_udio_0.json,fake,1,1,0.999842,0.999062,-0.0007800000000000029,0.0007800000000000029,0.024534,0.007479,0.9839935,0.39384143474248046,0.40100028095238094,0.499062,0.998124,1,0,0,0,1.507228,0.800941,2.420292,-3.997252,2.767927
AST,PGD,AST | PGD,sample_0002_real_12741.json,real,0,0,2e-05,3.8e-05,1.8e-05,1.8e-05,0.013421,0.019519,0.98353,0.5131895510858047,0.521822980952381,0.499962,0.999924,1,0,0,0,1.306062,0.994202,3.511704,-3.49984,2.317558
AST,PGD,AST | PGD,sample_0000_fake_35261_suno_1.json,fake,1,1,0.999849,0.999925,7.599999999996498e-05,7.599999999996498e-05,0.017807,0.01547,0.9833615,0.8366608592313224,0.8509448226190476,0.49992499999999995,0.9998499999999999,1,1,1,0,3.823955,0.993056,4.68677,-1.667389,4.188297
AST,PGD,AST | PGD,sample_0003_fake_07770_udio_0.json,fake,1,1,0.999407,0.999861,0.00045399999999995444,0.00045399999999995444,0.017616,0.017891,0.9822465,0.4681525901733517,0.47674669523809526,0.499861,0.999722,1,0,0,0,1.660123,0.955739,2.794537,-3.996385,2.444818
AST,PGD,AST | PGD,sample_0002_real_12041.json,real,0,0,1.4e-05,1e-05,-3.999999999999999e-06,3.999999999999999e-06,0.010332,0.025651,0.9820085000000001,0.6115529579081486,0.6227697511904762,0.49999,0.99998,1,0,0,0,2.964126,0.951299,3.713623,-3.990482,3.422937
AST,PGD,AST | PGD,sample_0000_real_11244.json,real,0,0,7e-06,5e-06,-1.9999999999999995e-06,1.9999999999999995e-06,0.01423,0.02179,0.98199,0.7589584388827146,0.7728857,0.499995,0.99999,1,0,0,0,,0.999345,4.893871,-3.986181,4.662585
AST,PGD,AST | PGD,sample_0000_fake_49482_udio_1.json,fake,1,1,0.999863,0.999942,7.900000000005125e-05,7.900000000005125e-05,0.017581,0.019152,0.9816335,0.5509831757965399,0.5613572654761905,0.499942,0.999884,1,0,0,0,1.842552,0.941065,3.487176,-3.694927,2.988791
AST,PGD,AST | PGD,sample_0001_fake_02193_udio_1.json,fake,1,1,0.998626,0.999544,0.0009179999999999744,0.0009179999999999744,0.017116,0.019905,0.9814895,0.5077593785581299,0.5178077583333334,0.499544,0.999088,1,0,0,0,1.836192,0.983137,3.145701,-3.99377,2.811334
AST,PGD,AST | PGD,sample_0000_fake_43253_udio_0.json,fake,1,1,0.999071,0.990227,-0.008844000000000074,0.008844000000000074,0.021828,0.015773,0.9811995,0.5781389788749479,0.6009629666666666,0.49022699999999997,0.9804539999999999,1,0,0,0,2.430198,0.99338,3.518334,-3.740326,3.312624
AST,PGD,AST | PGD,sample_0002_fake_46798_udio_1.json,fake,1,1,0.998581,0.99561,-0.002971000000000057,0.002971000000000057,0.030686,0.00758,0.9808669999999999,0.39403474214641965,0.4052792190476191,0.49561,0.99122,1,0,0,0,1.568329,0.815571,2.458383,-3.996291,2.881203
AST,PGD,AST | PGD,sample_0001_fake_12630_suno_1.json,fake,1,1,0.999934,0.999813,-0.00012100000000003774,0.00012100000000003774,0.020775,0.017626,0.9807995,0.9539914562084586,0.9730310654761906,0.49981299999999995,0.9996259999999999,1,1,1,0,4.471087,0.998329,4.970653,-0.49144,4.91677
AST,PGD,AST | PGD,sample_0000_real_12540.json,real,0,0,0.000274,0.000584,0.00031,0.00031,0.023232,0.015433,0.9806675,0.32427162545963034,0.33105085833333336,0.499416,0.998832,1,0,0,0,1.221893,0.952209,1.990855,-3.771304,2.824762
AST,PGD,AST | PGD,sample_0002_real_03751.json,real,0,0,0.000119,6.6e-05,-5.3e-05,5.3e-05,0.010739,0.029556,0.9798525,0.6079646220061069,0.620547361904762,0.499934,0.999868,1,0,0,0,2.33066,0.962651,3.996242,-3.592746,3.347748
AST,PGD,AST | PGD,sample_0001_real_06031.json,real,0,0,0.000187,0.001347,0.00116,0.00116,0.009368,0.032249,0.9791915,0.5308814926372225,0.5436276261904761,0.498653,0.997306,1,0,0,0,2.428052,0.81993,3.351931,-3.990365,2.942307
AST,PGD,AST | PGD,sample_0002_fake_38961_udio_0.json,fake,1,1,0.999938,0.999948,9.99999999995449e-06,9.99999999995449e-06,0.020591,0.02118,0.9791145,0.7543511086498778,0.7705223130952382,0.49994799999999995,0.9998959999999999,1,1,1,0,3.759524,0.996626,4.813675,-3.610942,4.190171
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_25170_suno_0.json,fake,1,1,0.999927,0.78177,-0.21815700000000005,0.21815700000000005,0.034436,0.007791,0.9788865,0.5343891040984821,0.9687249999999998,0.28176999999999996,0.5635399999999999,1,1,1,0,4.374336,0.998432,4.976331,-0.403339,4.939245
AST,PGD,AST | PGD,sample_0000_fake_51789_suno_0.json,fake,1,1,0.999649,0.999878,0.00022900000000003473,0.00022900000000003473,0.021054,0.021588,0.978679,0.5213080569156937,0.5327950095238095,0.49987800000000004,0.9997560000000001,1,0,0,0,1.625551,0.922805,3.395805,-3.248793,2.629021
AST,PGD,AST | PGD,sample_0001_fake_02868_suno_1.json,fake,1,1,0.999764,0.999936,0.000172000000000061,0.000172000000000061,0.018302,0.024766,0.9784660000000001,0.7596896767714076,0.7765082583333333,0.49993600000000005,0.9998720000000001,1,1,1,0,3.618483,0.962539,4.284632,-2.144597,3.479934
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_52861_suno_1.json,fake,1,1,0.999952,0.867584,-0.13236799999999993,0.13236799999999993,0.041428,0.003413,0.9775795,0.6894947596321401,0.959383597142857,0.367584,0.735168,1,1,1,0,4.430197,0.998123,4.900259,-0.431985,4.758351
AST,PGD,AST | PGD,sample_0001_fake_32764_suno_0.json,fake,1,1,0.999897,0.999803,-9.40000000000385e-05,9.40000000000385e-05,0.018575,0.027319,0.977053,0.6249595640365738,0.6398894380952381,0.499803,0.999606,1,0,0,0,2.778488,0.874384,3.729384,-2.945012,3.102211
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_14334_suno_1.json,fake,1,1,0.999799,0.994198,-0.005600999999999967,0.005600999999999967,0.040845,0.005969,0.976593,0.6538859935095551,0.677419117142857,0.494198,0.988396,1,1,1,0,3.345855,0.908173,4.012089,-2.588503,3.513909
AST,PGD,AST | PGD,sample_0001_fake_23504_suno_1.json,fake,1,1,0.999823,0.998653,-0.0011700000000000044,0.0011700000000000044,0.018654,0.028336,0.976505,0.5843613329570372,0.6000377416666667,0.498653,0.997306,1,0,0,0,2.756734,0.89999,3.405668,-3.153887,2.646306
AST,PGD,AST | PGD,sample_0002_fake_30470_udio_1.json,fake,1,1,0.999547,0.999875,0.00032799999999999496,0.00032799999999999496,0.034579,0.012487,0.976467,0.28552856037216656,0.2924829619047619,0.49987499999999996,0.9997499999999999,1,0,0,0,1.35815,0.692786,2.115952,-3.996844,2.637606
AST,PGD,AST | PGD,sample_0002_fake_16796_suno_1.json,fake,1,1,0.999924,0.999869,-5.500000000002725e-05,5.500000000002725e-05,0.029929,0.019405,0.975333,0.9527322300891263,0.9770836333333333,0.499869,0.999738,1,1,1,0,4.506538,0.998314,4.977951,-0.474623,4.974589
AST,PGD,AST | PGD,sample_0005_real_01192.json,real,0,0,0.000114,2e-05,-9.400000000000001e-05,9.400000000000001e-05,0.009812,0.040033,0.9750775,0.4347424343354038,0.44587207142857155,0.49998,0.99996,1,0,0,0,1.300837,0.841495,3.071419,-3.994423,2.476095
AST,PGD,AST | PGD,sample_0000_real_20445.json,real,0,0,8.9e-05,0.000305,0.000216,0.000216,0.013994,0.036301,0.9748525,0.7207574937482492,0.7398015845238096,0.499695,0.99939,1,1,1,0,3.291789,0.920451,4.122833,-2.194052,3.824252
AST,PGD,AST | PGD,sample_0002_real_00268.json,real,0,0,3.6e-05,1.4e-05,-2.2e-05,2.2e-05,0.009837,0.04175,0.9742065,0.6806292254366256,0.6986694130952381,0.499986,0.999972,1,1,1,0,3.309452,0.975058,3.931905,-2.491784,3.095294
AST,PGD,AST | PGD,sample_0001_fake_48933_suno_1.json,fake,1,1,0.999897,0.999761,-0.000136000000000025,0.000136000000000025,0.018806,0.03316,0.974017,0.655872299948003,0.673690455952381,0.499761,0.999522,1,1,1,0,3.030589,0.923948,4.080429,-2.67878,3.062521
AST,PGD,AST | PGD,sample_0000_fake_06014_udio_0.json,fake,1,1,0.999916,0.999767,-0.00014900000000006575,0.00014900000000006575,0.015327,0.036702,0.9739855,0.6848662867126016,0.7034864309523811,0.49976699999999996,0.9995339999999999,1,1,1,0,3.404795,0.989123,4.501941,-3.863747,3.478334
AST,PGD,AST | PGD,sample_0001_fake_50028_suno_1.json,fake,1,1,0.999831,0.999917,8.599999999991947e-05,8.599999999991947e-05,0.020212,0.032653,0.9735674999999999,0.5726311227320475,0.5882757952380951,0.49991699999999994,0.9998339999999999,1,0,0,0,1.956496,0.971994,3.534271,-3.079171,2.711631
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_50637_suno_0.json,fake,1,1,0.999949,0.580124,-0.419825,0.419825,0.040938,0.012234,0.973414,0.11695819263831174,0.7497913785714285,0.08012399999999997,0.16024799999999995,1,1,1,1,3.458103,0.939533,4.376525,-2.047854,3.874705
