model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
SPECTR,X-Shift,SPECTR | X-Shift,sample_0001_real_03751.json,real,1,0,0.527831,0.497667,-0.030164000000000024,0.030164000000000024,0.69952,0.363057,0.4687115,0.0,0.7510584452380953,0.002332999999999974,0.004665999999999948,0,0,1,1,3.347655,0.998324,4.624632,-3.071662,4.179083
SPECTR,X-Shift,SPECTR | X-Shift,sample_0015_real_12285.json,real,0,0,0.393704,0.437478,0.04377399999999998,0.04377399999999998,0.631573,0.512,0.42821349999999997,0.040845183396987166,0.7628122130952381,0.06252200000000002,0.12504400000000004,0,0,1,1,4.09082,0.999681,4.667369,-3.981896,4.148713
VGG,PGD,VGG | PGD,sample_0006_real_20445.json,real,0,0,0.280358,0.42795,0.147592,0.147592,0.53248,0.077298,0.695111,0.07503612581831001,0.7491214988095237,0.07205,0.1441,0,0,1,1,3.384939,0.920877,4.005518,-2.005129,3.722703
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_50637_suno_0.json,fake,1,1,0.999949,0.580124,-0.419825,0.419825,0.040938,0.012234,0.973414,0.11695819263831174,0.7497913785714285,0.08012399999999997,0.16024799999999995,1,1,1,1,3.458103,0.939533,4.376525,-2.047854,3.874705
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_05418_udio_0.json,fake,1,1,0.999277,0.581762,-0.41751499999999997,0.41751499999999997,0.242935,0.051342,0.8528614999999999,0.08730069843950142,0.6259760342857141,0.081762,0.163524,1,1,1,1,3.5838,0.985829,4.06789,-3.831314,2.983393
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_51789_suno_0.json,fake,1,1,0.999649,0.582082,-0.417567,0.417567,0.103116,0.037001,0.9299415,0.08483203035252126,0.5556819714285715,0.08208199999999999,0.16416399999999998,1,0,0,1,2.063016,0.930834,3.6986,-2.830096,2.883655
AST,PGD,AST | PGD,sample_0000_real_09534.json,real,0,1,0.482508,0.592194,0.109686,0.109686,0.038054,0.178243,0.8918515,0.0,0.7440234299999999,0.092194,0.184388,0,0,0,1,,0.975564,4.399678,-3.013855,3.520252
SPECTR,PGD,SPECTR | PGD,sample_0066_real_06665.json,real,0,0,0.376892,0.406184,0.029291999999999985,0.029291999999999985,0.386905,0.152404,0.7303455,0.08961210026228988,0.6539301940476191,0.09381600000000001,0.18763200000000002,1,0,0,1,2.651145,0.957024,4.009792,-3.384255,3.721676
SPECTR,PGD,SPECTR | PGD,sample_0087_real_03041.json,real,0,1,0.313033,0.609217,0.296184,0.296184,0.285962,0.091998,0.81102,0.0,0.539991330952381,0.10921700000000001,0.21843400000000002,0,0,0,0,1.919255,0.80405,3.233467,-3.125629,3.151631
AST,X-Shift,AST | X-Shift,sample_0010_fake_46798_udio_1.json,fake,1,0,0.998581,0.390215,-0.6083660000000001,0.6083660000000001,0.114364,0.152924,0.8663559999999999,0.0,0.6881563976190477,0.10978500000000002,0.21957000000000004,0,0,1,0,3.126825,0.93017,3.959912,-2.437294,3.260118
SPECTR,X-Shift,SPECTR | X-Shift,sample_0013_real_13270.json,real,0,1,0.40863,0.611827,0.20319700000000002,0.20319700000000002,0.436616,0.27044,0.6464719999999999,0.0,0.5735873226190477,0.11182700000000001,0.22365400000000002,0,0,0,0,3.267091,0.652754,2.440387,-1.54945,2.726547
VGG,Psychoacoustic,VGG | Psychoacoustic,sample_0009_real_10022.json,real,0,0,0.015382,0.383081,0.367699,0.367699,0.115248,0.247457,0.8186475,0.13915095338824637,0.7268991457142857,0.116919,0.233838,1,1,1,0,3.748709,0.975181,4.795583,-3.981189,4.601854
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_13018_udio_0.json,fake,1,1,0.999857,0.620886,-0.37897099999999995,0.37897099999999995,0.151099,0.053785,0.8975580000000001,0.13738192490699905,0.6330836125,0.12088600000000005,0.2417720000000001,1,0,0,0,,0.984693,4.288379,-3.701082,3.254086
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_19538_udio_0.json,fake,1,0,0.998059,0.37632,-0.621739,0.621739,0.180089,0.011795,0.904058,0.0,0.4426857857142858,0.12368000000000001,0.24736000000000002,0,0,0,0,1.767478,0.94491,3.064832,-3.994598,2.658405
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_51339_udio_0.json,fake,1,0,0.998184,0.376209,-0.621975,0.621975,0.208807,0.055186,0.8680035,0.0,0.636026425,0.12379099999999998,0.24758199999999997,0,0,0,0,,0.986256,4.284045,-3.845483,3.491046
SPECTR,PGD,SPECTR | PGD,sample_0045_fake_41199_suno_0.json,fake,1,1,0.684031,0.624786,-0.05924499999999999,0.05924499999999999,0.167244,0.076782,0.8779870000000001,0.15256835717557835,0.6962745559523809,0.12478599999999995,0.2495719999999999,1,1,1,0,3.216761,0.935132,3.932519,-2.590514,2.976914
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_30470_udio_1.json,fake,1,0,0.999547,0.367927,-0.63162,0.63162,0.19267,0.008259,0.8995355,0.0,0.34032567999999996,0.132073,0.264146,0,0,0,0,1.360668,0.760797,2.329701,-3.995661,2.521367
SPECTR,X-Shift,SPECTR | X-Shift,sample_0024_real_07293.json,real,0,0,0.347454,0.363511,0.016056999999999988,0.016056999999999988,0.769603,0.36803,0.43118349999999994,0.08794027845321847,0.7471332345238095,0.13648900000000003,0.27297800000000005,0,0,1,0,4.0,0.947105,3.982042,-2.240611,3.458689
VGG,X-Shift,VGG | X-Shift,sample_0024_real_07293.json,real,1,0,0.856314,0.349899,-0.5064150000000001,0.5064150000000001,0.001285,0.102629,0.948043,0.0,0.6942881071428572,0.15010099999999998,0.30020199999999997,0,0,1,0,3.786641,0.933518,3.874148,-2.690022,3.042755
VGG,PGD,VGG | PGD,sample_0007_real_06994.json,real,0,0,0.141159,0.34493,0.203771,0.203771,0.498704,0.111545,0.6948755,0.10569934222250305,0.49046441428571436,0.15506999999999999,0.31013999999999997,0,0,0,0,1.524812,0.972531,3.043913,-3.711693,3.019316
SPECTR,PGD,SPECTR | PGD,sample_0052_real_03705.json,real,1,0,0.540828,0.34368,-0.197148,0.197148,0.228336,0.062215,0.8547245,0.0,0.7067117738095239,0.15632000000000001,0.31264000000000003,0,0,1,0,3.212606,0.985835,4.100916,-3.306414,3.830525
AST,X-Shift,AST | X-Shift,sample_0013_real_13270.json,real,0,0,0.001811,0.342649,0.340838,0.340838,0.108652,0.261356,0.814996,0.1388368847757671,0.5413147738095238,0.15735100000000002,0.31470200000000004,1,0,0,0,3.063016,0.621995,2.359853,-1.713167,2.639735
VGG,PGD,VGG | PGD,sample_0000_fake_26837_udio_0.json,fake,1,1,0.504763,0.657422,0.152659,0.152659,0.522204,0.12568,0.676058,0.11028668599623384,0.5181359297619047,0.15742199999999995,0.3148439999999999,0,0,0,0,1.770915,0.98858,3.201568,-3.993097,2.557307
SPECTR,X-Shift,SPECTR | X-Shift,sample_0016_real_06665.json,real,0,0,0.376892,0.339403,-0.037488999999999995,0.037488999999999995,0.912352,0.645933,0.22085749999999998,0.05143262797428898,0.7250352797619048,0.160597,0.321194,0,0,1,0,3.633986,0.968724,4.129047,-3.052034,4.00575
SPECTR,X-Shift,SPECTR | X-Shift,sample_0021_fake_23884_suno_1.json,fake,1,1,0.678553,0.661347,-0.017205999999999944,0.017205999999999944,0.49339,0.298893,0.6038585,0.17371356274694072,0.8914718892857142,0.16134700000000002,0.32269400000000004,0,0,1,0,4.423386,0.978929,4.649119,-1.226298,4.015719
SPECTR,X-Shift,SPECTR | X-Shift,sample_0002_real_03705.json,real,1,1,0.540828,0.661995,0.12116700000000002,0.12116700000000002,0.691275,0.412844,0.4479405,0.11617465093953527,0.8004965047619047,0.161995,0.32399,0,0,1,0,3.97679,0.998935,4.498794,-2.634874,4.329298
VGG,PGD,VGG | PGD,sample_0011_real_13325.json,real,1,0,0.918426,0.330337,-0.588089,0.588089,0.513725,0.072016,0.7071295,0.0,0.5404050738095237,0.169663,0.339326,0,0,0,0,2.453638,0.712424,3.063993,-3.156751,3.261164
VGG,Psychoacoustic,VGG | Psychoacoustic,sample_0016_real_06665.json,real,0,0,9.7e-05,0.325591,0.325494,0.325494,0.506254,0.123902,0.684922,0.20643884991802838,0.8640749742857142,0.17440899999999998,0.34881799999999996,0,0,1,0,4.411396,0.994252,4.835469,-2.239455,4.762174
SPECTR,PGD,SPECTR | PGD,sample_0042_real_20757.json,real,0,0,0.243013,0.323771,0.08075799999999997,0.08075799999999997,0.25692,0.074302,0.834389,0.16650242749024557,0.5661670976190476,0.17622900000000002,0.35245800000000005,1,0,0,0,3.3125,0.777771,2.672939,-2.968157,2.402464
VGG,PGD,VGG | PGD,sample_0000_real_12540.json,real,0,0,0.255203,0.323366,0.06816299999999997,0.06816299999999997,0.466374,0.060056,0.736785,0.08275474761119697,0.31794195714285717,0.176634,0.353268,0,0,0,0,1.227602,0.95363,1.990748,-3.743176,2.563038
SPECTR,X-Shift,SPECTR | X-Shift,sample_0006_real_19284.json,real,0,0,0.355279,0.321729,-0.033550000000000024,0.033550000000000024,0.553394,0.410765,0.5179205,0.13364803570897715,0.7237503428571429,0.178271,0.356542,0,0,1,0,3.499885,0.995381,4.645935,-3.986579,4.069891
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_49482_udio_1.json,fake,1,1,0.999863,0.699299,-0.30056399999999994,0.30056399999999994,0.209543,0.188764,0.8008465,0.15984992417648625,0.5007581628571429,0.199299,0.398598,1,0,0,0,2.075374,0.932292,3.400548,-3.547694,2.755178
AST,Psychoacoustic,AST | Psychoacoustic,sample_0003_fake_09727_udio_1.json,fake,1,1,0.999724,0.700333,-0.29939099999999996,0.29939099999999996,0.147546,0.196381,0.8280365000000001,0.23575952478455806,0.7106197542857142,0.20033299999999998,0.40066599999999997,1,1,1,0,3.846545,0.996421,4.803938,-3.924474,3.867566
SPECTR,PGD,SPECTR | PGD,sample_0070_real_00193.json,real,0,0,0.054188,0.299203,0.24501499999999998,0.24501499999999998,0.21927,0.076289,0.8522205,0.21968643150071396,0.6418950726190477,0.200797,0.401594,1,1,1,0,3.583498,0.868608,3.550786,-2.825075,2.288037
SPECTR,X-Shift,SPECTR | X-Shift,sample_0001_fake_48933_suno_1.json,fake,1,1,0.797081,0.702112,-0.09496900000000008,0.09496900000000008,0.262837,0.17193,0.7826165,0.2711761284267204,0.8571964440476191,0.20211199999999996,0.4042239999999999,1,1,1,0,3.925215,0.990459,4.69404,-1.310605,3.861856
