model,attack,experiment,_file,label_str,pred_orig,pred_adv,prob_orig,prob_adv,score_shift,abs_score_shift,cos_sim,top10_overlap,attribution_change,afs_stable,quality_score,margin_adv,margin_safety,aasr_strict,aasr_quality,quality_pass,near_boundary_adv_010,pesq,stoi,visqol,peaq,zimtohrli
SPECTR,PGD,SPECTR | PGD,sample_0067_real_19661.json,real,0,0,0.292505,0.275745,-0.016759999999999997,0.016759999999999997,0.220787,0.094728,0.8422425,0.07411318741785336,0.19619422,0.22425499999999998,0.44850999999999996,1,0,0,0,,0.143509,1.0,-3.965694,1.992008
SPECTR,PGD,SPECTR | PGD,sample_0009_real_19731.json,real,0,0,0.025304,0.209712,0.18440800000000002,0.18440800000000002,0.185718,0.138985,0.8376485,0.1663804670169721,0.3421223488095238,0.290288,0.580576,1,0,0,0,1.846444,0.482992,1.831011,-3.877792,2.622801
AST,PGD,AST | PGD,sample_0000_real_10022.json,real,0,0,0.002479,0.00797,0.005490999999999999,0.005490999999999999,0.025541,0.147709,0.913375,0.309449971304331,0.34428630476190475,0.49203,0.98406,1,0,0,0,1.195207,0.98948,2.380597,-3.998257,2.911717
SPECTR,PGD,SPECTR | PGD,sample_0084_real_10022.json,real,0,0,0.320486,0.160325,-0.160161,0.160161,0.337403,0.14527,0.7586634999999999,0.1779320832281609,0.3452323571428572,0.339675,0.67935,1,0,0,0,1.194072,0.989857,2.380545,-3.998325,2.89342
AST,PGD,AST | PGD,sample_0000_real_19731.json,real,0,0,0.019418,0.149659,0.130241,0.130241,0.02078,0.136952,0.921134,0.2257502134619882,0.3497714809523809,0.350341,0.700682,1,0,0,0,1.783231,0.498849,1.981133,-3.866273,2.698373
SPECTR,PGD,SPECTR | PGD,sample_0038_real_13270.json,real,0,0,0.40863,0.466407,0.05777700000000002,0.05777700000000002,0.252218,0.048078,0.849852,0.01998326915251307,0.34998098690476187,0.033592999999999984,0.06718599999999997,1,0,0,1,2.094606,0.50714,1.982736,-2.907645,2.310448
VGG,X-Shift,VGG | X-Shift,sample_0000_real_12540.json,real,0,0,0.255203,7.2e-05,-0.255131,0.255131,0.000253,0.093413,0.9531670000000001,0.34089367700839524,0.3576946880952381,0.499928,0.999856,1,0,0,0,1.770922,0.988314,1.990766,-3.517216,2.846016
AST,PGD,AST | PGD,sample_0002_real_13270.json,real,0,0,0.001811,0.004539,0.0027279999999999995,0.0027279999999999995,0.034081,0.073311,0.946304,0.33767000130618813,0.3600993464285714,0.495461,0.990922,1,0,0,0,2.10723,0.525729,2.033418,-2.873425,2.323462
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_real_19731.json,real,0,0,0.019418,0.003308,-0.01611,0.01611,0.047186,0.046077,0.9533685000000001,0.37130518491614056,0.39206046857142857,0.496692,0.993384,1,0,0,0,1.665543,0.637254,2.82538,-3.343952,2.562681
SPECTR,PGD,SPECTR | PGD,sample_0029_real_12407.json,real,0,0,0.014336,0.006943,-0.007392999999999999,0.007392999999999999,0.254667,0.147595,0.798869,0.3093980920263222,0.39274886428571426,0.493057,0.986114,1,0,0,0,2.19481,0.521157,2.143849,-3.765859,2.734827
AST,PGD,AST | PGD,sample_0002_real_12407.json,real,0,0,0.006117,0.01075,0.004632999999999999,0.004632999999999999,0.025258,0.099335,0.9377035,0.36370972679190655,0.39639534761904766,0.48925,0.9785,1,0,0,0,2.252721,0.518218,2.179195,-3.769687,2.813844
SPECTR,PGD,SPECTR | PGD,sample_0097_fake_37097_udio_0.json,fake,1,1,0.976906,0.968974,-0.00793200000000005,0.00793200000000005,0.187452,0.035316,0.8886160000000001,0.33408384746693204,0.40083218690476197,0.468974,0.937948,1,0,0,0,1.489169,0.822528,2.448802,-3.997415,2.805264
AST,PGD,AST | PGD,sample_0004_fake_37097_udio_0.json,fake,1,1,0.999842,0.999062,-0.0007800000000000029,0.0007800000000000029,0.024534,0.007479,0.9839935,0.39384143474248046,0.40100028095238094,0.499062,0.998124,1,0,0,0,1.507228,0.800941,2.420292,-3.997252,2.767927
AST,PGD,AST | PGD,sample_0002_fake_46798_udio_1.json,fake,1,1,0.998581,0.99561,-0.002971000000000057,0.002971000000000057,0.030686,0.00758,0.9808669999999999,0.39403474214641965,0.4052792190476191,0.49561,0.99122,1,0,0,0,1.568329,0.815571,2.458383,-3.996291,2.881203
SPECTR,PGD,SPECTR | PGD,sample_0035_fake_46798_udio_1.json,fake,1,1,0.925904,0.955921,0.03001700000000007,0.03001700000000007,0.187603,0.026426,0.8929855,0.33029330972794124,0.40563533333333335,0.455921,0.911842,1,0,0,0,1.586096,0.836215,2.283543,-3.996363,2.86944
AST,Psychoacoustic,AST | Psychoacoustic,sample_0000_fake_07770_udio_0.json,fake,1,1,0.999407,0.902673,-0.0967340000000001,0.0967340000000001,0.249213,0.196381,0.777203,0.26619586595467304,0.42528917857142856,0.40267299999999995,0.8053459999999999,1,0,0,0,1.725141,0.957396,3.027204,-3.990665,2.26366
VGG,Psychoacoustic,VGG | Psychoacoustic,sample_0023_real_01192.json,real,0,0,0.0,0.0,0.0,0.0,0.243575,0.208834,0.7737955000000001,0.3322308787600722,0.42935230142857145,0.5,1.0,1,0,0,0,1.633594,0.838142,3.404568,-3.986623,2.615532
VGG,X-Shift,VGG | X-Shift,sample_0009_real_10022.json,real,0,0,0.015382,0.002227,-0.013155,0.013155,0.003976,0.121932,0.937046,0.40561649094520535,0.4348038297619048,0.497773,0.995546,1,0,0,0,1.461263,0.999117,4.709486,-3.733395,2.419469
AST,PGD,AST | PGD,sample_0005_real_01192.json,real,0,0,0.000114,2e-05,-9.400000000000001e-05,9.400000000000001e-05,0.009812,0.040033,0.9750775,0.4347424343354038,0.44587207142857155,0.49998,0.99996,1,0,0,0,1.300837,0.841495,3.071419,-3.994423,2.476095
SPECTR,PGD,SPECTR | PGD,sample_0098_real_01192.json,real,0,0,0.067391,0.076972,0.009580999999999992,0.009580999999999992,0.227672,0.061138,0.855595,0.32429804451085137,0.44799893571428573,0.423028,0.846056,1,0,0,0,1.28569,0.835167,3.074708,-3.994514,2.467102
AST,PGD,AST | PGD,sample_0001_real_19441.json,real,0,0,0.01433,0.001333,-0.012997000000000002,0.012997000000000002,0.021959,0.149418,0.9143114999999999,0.41713494195007333,0.4574480321428572,0.498667,0.997334,1,0,0,0,1.804192,0.626058,2.973151,-3.668126,3.068159
SPECTR,PGD,SPECTR | PGD,sample_0096_fake_07770_udio_0.json,fake,1,1,0.959785,0.96192,0.002134999999999998,0.002134999999999998,0.226795,0.027881,0.872662,0.3708248154656569,0.45996624523809526,0.46192,0.92384,1,0,0,0,1.573869,0.945567,2.647676,-3.996694,2.336992
VGG,X-Shift,VGG | X-Shift,sample_0007_real_12935.json,real,0,0,3e-05,9.3e-05,6.3e-05,6.3e-05,0.001799,0.089158,0.9545215,0.44887160584019076,0.47034572976190486,0.499907,0.999814,1,0,0,0,2.092229,0.485506,2.343373,-3.123318,3.433386
SPECTR,PGD,SPECTR | PGD,sample_0077_real_03464.json,real,0,0,0.023526,0.026087,0.0025610000000000008,0.0025610000000000008,0.301336,0.086037,0.8063134999999999,0.3629551712705925,0.4749199785714286,0.47391300000000003,0.9478260000000001,1,0,0,0,1.855563,0.852698,2.956198,-3.996084,2.778304
AST,PGD,AST | PGD,sample_0002_real_03464.json,real,0,0,0.034295,0.002012,-0.032283,0.032283,0.020155,0.1077,0.9360725,0.4433810934477692,0.4755747738095238,0.497988,0.995976,1,0,0,0,1.88374,0.849541,2.906735,-3.995953,2.73553
AST,PGD,AST | PGD,sample_0003_fake_07770_udio_0.json,fake,1,1,0.999407,0.999861,0.00045399999999995444,0.00045399999999995444,0.017616,0.017891,0.9822465,0.4681525901733517,0.47674669523809526,0.499861,0.999722,1,0,0,0,1.660123,0.955739,2.794537,-3.996385,2.444818
VGG,X-Shift,VGG | X-Shift,sample_0009_real_19731.json,real,0,0,0.000184,0.0,-0.000184,0.000184,5.6e-05,0.102821,0.9485615000000001,0.45241813064505837,0.4769518166666667,0.5,1.0,1,0,0,0,2.759765,0.639825,2.251837,-3.626971,2.642767
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_37097_udio_0.json,fake,1,1,0.999842,0.516934,-0.482908,0.482908,0.144103,0.00858,0.9236584999999999,0.014964830284758025,0.47837757571428574,0.016934000000000005,0.03386800000000001,1,0,0,1,2.232978,0.851696,3.275149,-3.987748,3.080311
AST,PGD,AST | PGD,sample_0002_real_06994.json,real,0,0,3.3e-05,5e-06,-2.8000000000000003e-05,2.8000000000000003e-05,0.011868,0.018651,0.9847405,0.47110291419521627,0.4784078904761904,0.499995,0.99999,1,0,0,0,1.469228,0.970287,2.950373,-3.738169,3.077186
AST,Psychoacoustic,AST | Psychoacoustic,sample_0003_fake_41087_udio_1.json,fake,1,1,0.99846,0.706215,-0.292245,0.292245,0.146925,0.023211,0.9149320000000001,0.18094881228212437,0.4795309814285714,0.20621500000000004,0.4124300000000001,1,0,0,0,1.911424,0.807101,3.389535,-3.363962,2.868769
SPECTR,PGD,SPECTR | PGD,sample_0006_fake_41087_udio_1.json,fake,1,1,0.870307,0.824589,-0.045718000000000036,0.045718000000000036,0.151497,0.116908,0.8657975,0.27265239126547225,0.48509767142857146,0.324589,0.649178,1,0,0,0,1.581684,0.816658,3.395631,-3.559127,2.703488
AST,Psychoacoustic,AST | Psychoacoustic,sample_0001_fake_02193_udio_1.json,fake,1,1,0.998626,0.969285,-0.02934100000000006,0.02934100000000006,0.212494,0.059766,0.86387,0.39740173188448225,0.4901338471428572,0.46928499999999995,0.9385699999999999,1,0,0,0,2.313376,0.987584,3.166376,-3.988845,2.717261
AST,X-Shift,AST | X-Shift,sample_0004_real_12407.json,real,0,0,0.006117,0.003538,-0.002579,0.002579,0.083768,0.26565,0.825291,0.4072803759881277,0.4970159976190476,0.496462,0.992924,1,0,0,0,2.860398,0.647244,2.578928,-3.518458,3.030761
